current_day,current_week,current_year,hight_eat_meat_t0,hight_prob_eat_meat_day,hight_std_meat_day,hight_tax_meat_day,low_eat_meat_t0,low_prob_eat_meat_day,low_std_meat_day,low_tax_meat_day,prob_eat_meat_day,prob_eat_meat_t0,std_meat_day,tax_meat_day
1,1,2014,135.93930960157,0.66313546007905,56.647044872445,33.283800578308,3.3174498452814,0.01715863490161,1.4622814878399,0.8571439910467,0.68029409498066,0.73233790932317,58.109326360285,34.140944569355
2,1,2014,135.93930960157,0.66705925780383,55.745021822588,32.779599546269,3.3174498452814,0.016197021557965,1.5045340965714,0.87685029954851,0.6832562793618,0.73233790932317,57.249555919159,33.656449845818
3,1,2014,135.93930960157,0.65802453563189,55.346892450952,32.54481784022,3.3174498452814,0.017769778430994,0.93213796974763,0.5453529733862,0.67579431406288,0.73233790932317,56.2790304207,33.090170813606
4,1,2014,135.93930960157,0.65604424839782,57.970717360181,34.093183680975,3.3174498452814,0.017161564268904,1.2373425727274,0.7237871039117,0.67320581266673,0.73233790932317,59.208059932908,34.816970784887
5,1,2014,135.93930960157,0.66138144891283,57.498566823017,33.772898957103,3.3174498452814,0.016947307237006,1.6625187841695,0.97640522702127,0.67832875614983,0.73233790932317,59.161085607187,34.749304184125
6,1,2014,135.93930960157,0.65764527756735,57.915608883423,34.050673824707,3.3174498452814,0.016447707963533,1.6035694350669,0.93915597531083,0.67409298553088,0.73233790932317,59.51917831849,34.989829800018
7,1,2014,135.93930960157,0.65564576948363,58.479524411845,34.381680587069,3.3174498452814,0.017405641554451,1.842306586357,1.0783503600932,0.67305141103808,0.73233790932317,60.321830998201,35.460030947162
8,2,2014,135.93930960157,0.65157085686895,56.471883446551,33.193952044627,3.3174498452814,0.016903971728193,1.6488261816743,0.96565218909118,0.66847482859714,0.73233790932317,58.120709628226,34.159604233718
9,2,2014,135.93930960157,0.67191147246649,52.769375077712,31.010906016004,3.3174498452814,0.017034920927892,1.5112912616562,0.88635526582416,0.68894639339438,0.73233790932317,54.280666339368,31.897261281828
10,2,2014,135.93930960157,0.65251663359405,58.195791463645,34.22089276989,3.3174498452814,0.016987706315389,1.4779963636209,0.86852452676479,0.66950433990944,0.73233790932317,59.673787827266,35.089417296655
11,2,2014,135.93930960157,0.66607249807127,58.36425289314,34.327469588208,3.3174498452814,0.016807304011686,1.365986767925,0.79797780288936,0.68287980208295,0.73233790932317,59.730239661065,35.125447391097
