SSerial,Rsex,Rage,MeatEnv,MeatHlth,MeatWelf,livcost1,Country,MeatHab,REconAct,REarnD
352452,2,52,2,2,2,5,2,1,0,0
352069,2,36,2,2,2,4,2,1,1,2
352858,2,52,3,4,4,5,2,1,0,0
350119,1,36,1,4,1,5,2,1,1,9
352773,1,28,4,4,2,5,2,1,0,0
352416,2,71,2,4,4,4,2,1,0,0
350692,1,51,2,2,4,5,2,1,0,0
351557,2,41,5,5,5,5,2,0,1,7
350025,1,28,3,2,3,5,2,1,1,6
350521,2,55,3,2,3,5,2,1,0,0
352055,2,50,2,2,4,5,2,1,0,0
352812,2,50,2,4,2,5,2,1,1,10
351862,2,42,3,2,3,5,2,1,0,0
351690,2,78,3,3,3,5,2,1,0,0
352360,2,41,4,4,4,5,2,1,1,2
350933,1,25,3,2,4,4,2,1,1,4
350036,1,22,3,4,4,5,2,1,0,0
350611,1,73,2,2,4,4,2,1,0,0
350047,1,80,4,4,4,5,2,1,0,0
351675,1,19,3,3,3,5,2,1,1,2
351906,1,27,1,2,5,4,2,1,1,7
351279,2,35,3,3,3,4,2,1,1,10
350527,2,45,5,4,5,4,2,0,1,7
351913,1,28,4,3,5,4,2,1,1,7
350178,1,41,1,3,2,5,2,1,1,0
350420,1,84,5,4,4,5,2,1,0,0
351184,1,46,4,4,4,4,2,1,1,10
352528,1,70,2,2,2,5,2,1,0,0
352263,1,53,3,4,3,4,2,1,0,0
352498,1,72,1,2,2,5,2,1,0,0
350756,1,79,4,4,4,5,2,1,0,0
350377,1,74,2,2,3,5,2,1,0,0
352255,1,26,2,2,1,5,2,1,0,0
350671,1,47,4,4,4,5,2,1,0,0
351917,1,29,2,2,2,4,2,1,1,5
350134,2,75,4,4,4,4,2,1,0,0
350150,2,77,2,2,2,5,2,1,0,0
351756,2,51,2,4,3,4,1,1,1,9
351386,2,23,2,2,4,4,1,1,0,0
351009,2,39,2,1,4,5,1,1,1,5
350245,2,74,3,4,3,5,1,0,0,0
350550,1,56,2,4,3,5,1,1,1,6
352585,2,67,3,3,3,5,1,1,0,0
351372,2,75,2,2,2,5,1,1,0,0
352623,1,59,4,5,3,5,1,1,1,10
352748,1,84,4,5,4,4,1,1,0,0
352579,1,61,2,3,3,4,1,1,0,0
352716,1,39,5,4,4,5,1,0,1,6
352803,1,57,3,2,3,5,3,1,0,0
350719,1,53,2,2,4,5,3,1,0,0
352307,2,65,1,2,1,5,1,1,0,0
351599,1,53,5,4,4,5,1,1,1,10
351608,2,46,3,3,4,5,1,1,1,3
351358,2,58,5,3,2,4,1,1,1,2
352232,1,53,4,5,3,5,1,1,1,8
351092,1,58,3,3,3,3,1,1,1,0
352447,2,41,2,2,2,5,1,1,0,0
350883,1,54,3,3,4,5,1,1,1,0
351820,2,56,2,2,3,5,1,1,1,0
352613,2,44,4,4,4,5,1,1,1,7
350950,1,46,1,3,2,5,1,1,0,0
350108,1,40,2,2,4,5,1,1,1,5
350744,1,70,2,3,2,4,1,1,1,0
350182,1,62,3,5,3,5,1,1,0,0
351926,2,38,4,4,4,5,1,0,1,10
352049,1,68,2,4,2,5,1,1,0,0
350976,2,60,3,3,3,5,1,1,0,0
350269,1,52,4,4,3,3,1,1,1,10
350840,2,76,3,3,2,4,1,1,0,0
350422,2,35,2,2,4,5,1,1,1,6
351334,2,26,3,3,4,5,1,1,1,3
351474,2,66,1,1,1,3,1,1,1,0
352849,2,68,3,2,2,5,1,1,0,0
352680,2,24,2,2,4,5,1,1,1,1
352663,1,50,3,3,3,5,1,1,1,4
351096,2,35,3,2,2,5,1,1,1,4
350995,2,28,3,2,4,4,1,1,1,1
350371,2,81,3,3,3,4,1,1,0,0
350015,2,25,2,2,3,3,1,1,0,0
351508,2,32,2,4,2,5,1,1,1,4
350576,2,73,3,4,3,5,1,1,0,0
352648,1,73,4,2,4,2,1,1,0,0
350689,1,68,3,3,3,5,1,1,0,0
352578,2,46,3,2,5,5,1,1,1,2
351898,1,57,1,1,1,5,1,1,1,4
350598,2,41,3,3,3,5,1,1,1,3
352308,2,53,3,4,4,5,1,1,1,4
351228,1,50,2,2,4,5,1,1,1,7
351549,2,26,3,4,3,5,1,1,1,4
351526,1,68,3,3,3,5,1,1,0,0
351040,2,58,2,4,4,5,1,1,1,6
350564,2,68,4,4,5,5,1,1,0,0
350122,1,51,2,1,2,5,1,1,1,1
352454,2,38,3,3,2,5,1,1,1,3
352178,2,36,3,4,5,5,1,1,1,9
351964,1,48,2,2,2,5,1,1,1,10
352646,2,29,3,3,4,4,1,1,0,0
351381,2,25,3,3,2,5,1,1,0,0
351620,2,41,5,4,4,5,1,1,1,9
350917,2,61,5,5,5,3,1,1,1,7
350590,2,46,2,2,4,1,1,1,1,3
351206,1,74,2,4,2,5,1,1,0,0
350922,1,76,2,2,0,3,1,1,0,0
352194,1,70,2,4,5,5,1,1,0,0
350450,1,78,1,1,1,5,1,1,1,3
351931,2,54,3,3,3,4,1,1,0,0
351293,2,80,3,2,2,5,1,1,0,0
350312,1,32,3,3,5,4,1,1,1,2
352151,1,73,3,4,2,4,1,1,0,0
350652,1,93,3,3,3,4,1,1,0,0
351345,1,71,2,3,3,5,1,1,0,0
350981,2,43,5,5,5,3,1,1,1,8
352224,1,28,3,2,3,4,1,1,1,0
352833,1,68,2,4,5,5,1,1,0,0
351114,2,50,2,4,4,1,1,1,0,0
351423,1,62,4,4,2,2,1,1,1,1
350384,2,76,3,2,3,4,1,1,0,0
350299,2,74,2,2,3,5,1,1,0,0
352635,2,35,3,3,5,5,1,1,1,2
351057,2,18,4,2,4,4,1,1,0,0
351306,1,47,2,2,2,5,1,1,1,3
352686,1,50,5,2,2,5,1,1,1,4
352183,1,41,4,3,4,5,1,1,0,0
351719,2,38,4,3,3,4,1,1,1,5
350064,2,43,2,2,2,5,1,1,1,0
352328,2,78,2,4,4,5,1,1,0,0
350409,1,57,2,2,2,5,1,1,0,0
350577,1,80,1,1,1,5,1,1,0,0
351533,1,72,3,2,3,5,1,1,0,0
350553,1,49,2,4,4,5,1,1,1,8
350100,2,80,2,4,4,5,1,1,0,0
352597,1,60,3,4,3,4,1,1,0,0
351083,1,49,2,2,4,5,1,1,1,3
351865,1,73,2,4,4,5,1,1,0,0
350773,1,55,3,4,3,5,1,1,1,9
352208,2,35,3,4,4,5,1,1,1,6
350551,1,57,1,1,1,5,1,1,1,0
352843,1,45,3,4,2,5,1,1,1,8
351062,1,65,2,4,3,4,1,1,0,0
352734,2,55,3,2,4,5,1,1,1,2
352548,2,56,2,3,3,5,1,1,0,0
351005,2,89,3,3,4,5,1,1,0,0
351447,1,62,3,2,2,5,1,1,1,3
351071,1,69,5,5,3,4,1,1,0,0
351590,1,45,2,2,3,5,1,1,1,4
351760,2,66,4,4,3,5,1,1,0,0
350962,2,54,3,4,3,5,1,0,1,2
350369,2,40,4,4,4,5,1,1,0,0
350811,2,60,1,1,1,5,1,1,0,0
351556,2,78,2,2,2,5,1,1,0,0
352539,2,28,2,2,2,5,1,1,0,0
351384,1,67,4,4,3,5,1,1,0,0
352458,2,59,4,4,3,5,1,1,1,2
351018,2,55,3,3,3,5,1,1,1,3
352191,2,70,3,3,3,5,1,1,0,0
351605,1,85,4,2,2,4,1,1,0,0
350207,1,53,2,2,1,5,1,1,1,9
350121,2,23,5,3,5,5,1,1,1,5
351781,2,82,1,3,2,5,1,1,0,0
350827,2,35,2,4,5,5,1,1,1,6
350172,1,71,2,4,4,4,1,1,0,0
352262,2,19,4,3,3,5,1,1,0,0
350148,1,86,3,4,4,5,1,1,0,0
350566,1,37,4,4,4,5,1,1,0,0
352030,2,54,4,4,4,5,1,0,1,2
350896,2,77,4,4,4,5,1,1,0,0
351317,2,46,4,3,3,5,1,1,1,5
352356,2,63,3,3,0,5,1,1,0,0
351511,2,32,3,3,3,5,1,1,1,9
351080,1,39,2,2,2,5,1,1,1,8
351730,1,56,5,5,5,5,1,1,1,7
351639,2,44,3,4,2,5,1,1,1,0
351512,2,51,3,2,2,4,1,1,1,0
351033,1,32,2,2,4,5,1,1,0,0
352855,1,58,5,5,5,5,1,0,1,2
350293,2,85,3,2,5,5,1,1,0,0
352058,2,43,2,2,2,5,1,1,1,2
352013,1,55,2,2,2,5,1,1,1,7
352082,1,51,3,4,2,4,1,1,1,8
351530,2,65,3,4,3,5,1,1,0,0
351064,2,65,4,4,2,4,1,1,1,4
352868,1,53,2,2,2,5,1,1,1,4
352090,1,32,3,2,2,5,1,1,1,5
350767,1,51,3,3,4,1,3,1,1,6
352142,1,26,5,5,5,5,3,1,0,0
352184,1,73,1,2,2,4,3,1,0,0
350467,1,31,3,3,3,5,3,1,1,8
351075,1,62,2,4,2,5,3,1,1,6
350914,1,74,3,4,4,5,1,1,0,0
352025,2,67,3,3,3,5,1,1,0,0
351391,1,45,1,3,1,5,1,1,1,4
352549,1,19,1,3,3,5,3,1,0,0
352516,2,19,2,4,4,5,3,1,0,0
352086,1,75,3,4,3,4,3,1,0,0
351073,2,70,2,5,3,5,3,0,0,0
351269,1,65,4,2,4,5,3,1,0,0
351471,2,76,2,3,3,4,1,1,0,0
351256,1,34,4,3,4,4,1,1,1,9
351538,2,43,4,4,3,5,1,1,1,6
351896,2,35,3,3,3,5,1,1,0,0
351215,2,72,2,2,4,5,1,1,0,0
350282,1,23,4,4,4,5,1,1,1,0
350093,1,50,4,2,4,5,1,1,0,0
351133,2,45,4,4,4,5,1,1,1,8
351221,2,24,2,3,2,5,1,1,1,7
352576,1,39,4,2,3,3,1,1,1,10
352275,1,52,4,3,1,5,1,1,1,9
351633,2,81,3,3,3,5,1,1,0,0
351239,2,32,3,1,4,5,1,1,1,4
350378,1,25,3,4,4,5,1,1,1,7
350912,2,25,2,2,4,5,1,1,1,8
351396,1,64,3,2,3,4,1,1,0,0
351858,1,58,3,3,3,5,1,1,1,6
351768,1,58,3,2,2,4,1,1,1,4
352390,1,65,2,2,2,4,1,1,0,0
350097,2,42,4,4,4,3,1,1,1,6
351097,2,49,2,2,2,5,1,1,1,5
351431,2,41,3,2,2,5,1,1,1,5
352542,2,51,4,4,2,5,1,1,1,7
350645,2,74,3,4,2,4,1,1,0,0
350436,2,38,3,3,3,4,1,0,1,9
350185,2,63,2,3,3,4,1,1,1,4
350396,2,43,2,2,2,4,1,1,1,2
352160,2,64,1,2,2,2,1,1,0,0
350429,1,76,5,4,0,5,1,1,0,0
352014,2,34,5,5,2,5,1,1,0,0
351142,2,67,2,2,3,4,1,1,0,0
351597,2,50,3,4,2,4,1,1,0,0
351497,1,54,3,2,3,5,1,1,1,6
351043,1,29,5,4,4,5,1,1,1,6
350247,2,46,5,5,5,5,1,0,1,0
352131,1,46,2,2,2,5,1,1,1,3
351463,2,35,3,3,3,5,1,1,0,0
351367,2,49,5,4,3,5,1,1,1,2
350639,1,46,5,5,5,5,1,1,1,10
350613,2,38,4,4,4,5,1,1,0,0
350455,2,71,2,2,3,4,3,1,0,0
351465,1,52,3,2,2,5,3,1,1,8
351579,1,57,3,4,2,5,1,1,1,4
351357,2,69,3,2,2,5,1,1,0,0
350866,2,78,3,3,3,5,1,1,0,0
351385,1,59,2,2,2,5,1,1,0,0
352496,2,40,2,3,4,5,1,1,0,0
351342,2,41,3,2,4,5,1,1,0,0
351967,1,25,4,3,4,5,1,1,0,0
352544,2,30,3,3,3,4,1,1,0,0
350583,1,46,3,4,2,5,1,1,1,9
350743,2,51,3,4,3,5,1,1,1,6
352077,1,36,2,4,4,5,1,0,1,1
350996,2,49,5,5,5,5,1,0,0,0
352046,2,72,4,4,5,2,1,1,0,0
352097,1,37,4,4,4,5,1,1,1,2
350407,1,86,3,2,3,5,1,1,0,0
350363,2,80,3,2,3,5,1,1,0,0
351528,1,37,5,3,4,5,1,1,1,0
352704,1,35,3,3,4,5,1,1,0,0
350483,2,78,3,3,4,5,1,1,0,0
351725,1,25,2,2,4,5,1,1,1,7
352745,2,27,2,2,4,5,1,1,1,8
351479,2,54,2,4,2,4,1,1,1,4
352348,2,45,3,2,2,5,1,1,1,3
352451,2,79,5,4,4,5,1,1,0,0
351181,1,71,3,3,3,4,1,1,0,0
350035,1,45,3,3,3,4,1,1,0,0
351343,2,57,3,2,2,4,1,1,1,7
351403,2,46,3,2,4,5,1,1,0,0
350147,2,47,2,3,4,5,1,1,1,4
351330,2,43,2,3,2,5,1,1,1,8
352417,2,36,2,2,2,4,1,1,0,0
351646,2,35,3,3,3,5,1,1,1,3
352381,1,77,3,3,3,3,1,1,0,0
351664,1,68,2,2,2,5,1,1,0,0
350432,1,34,3,2,2,4,1,1,0,0
352188,2,71,1,2,2,4,1,1,0,0
351308,2,52,5,4,5,5,1,1,1,4
351136,1,77,2,3,2,5,1,1,0,0
350426,2,76,3,4,4,5,1,1,0,0
351809,2,44,5,5,5,5,1,1,1,2
350493,2,43,2,2,2,5,1,1,1,1
352801,1,63,4,4,2,4,1,1,0,0
350329,2,32,2,3,4,5,1,1,1,4
352468,2,51,2,4,2,5,1,1,1,1
350381,2,34,2,3,3,5,1,1,1,6
352794,2,67,3,4,4,5,1,1,0,0
350078,1,79,2,5,5,5,1,1,0,0
350966,2,44,2,1,2,5,1,1,1,7
351183,1,73,3,2,2,5,1,1,0,0
352363,1,42,4,2,3,5,1,1,1,3
352570,2,19,3,2,3,5,1,1,1,1
352213,2,66,2,2,5,5,1,1,0,0
352266,2,31,4,4,4,5,1,1,0,0
352559,1,63,3,4,3,5,1,1,0,0
351676,2,66,4,5,4,5,1,1,0,0
352335,1,40,1,1,1,3,1,1,1,7
350674,2,84,3,3,4,4,1,1,0,0
352177,1,51,1,1,1,5,1,1,1,7
351742,2,49,3,3,3,5,1,1,1,9
351679,2,88,4,4,4,5,1,1,0,0
350412,2,37,3,3,3,5,1,1,0,0
351492,1,45,3,4,5,5,1,1,1,10
352758,1,37,4,5,3,5,1,1,1,10
350297,2,41,3,4,4,5,1,1,0,0
351420,2,47,5,5,3,5,1,1,1,8
352384,1,67,2,2,2,5,1,1,0,0
352176,2,72,5,5,5,5,1,0,0,0
351901,1,45,2,2,3,4,1,1,1,9
351484,2,27,4,2,2,5,1,1,1,6
350213,2,38,3,2,2,5,1,1,1,8
350089,2,38,5,5,5,5,1,1,0,0
351473,1,32,3,2,4,4,1,1,1,9
352012,1,66,4,4,4,5,1,1,0,0
350302,1,50,2,2,2,5,1,0,1,5
351748,2,58,2,2,2,2,1,1,1,0
352751,2,60,3,4,4,5,1,1,0,0
351880,1,39,2,4,4,5,1,1,1,5
351443,1,89,4,4,4,5,1,1,0,0
